title,desc,date,datetime,link,img,media,site
看守所度中秋節！陳佩琪響應小草「寧靜革命」隔著監所高牆思念柯文哲,政治中心／陳弘逸報導每逢佳節倍思親？民眾黨主席柯文哲，遭控擔任台北市長期間涉京華城弊案，仍羈押在台北看守所，支持者（暱稱小草）發起「寧靜革命，星光相伴」活動，前往守.,3 分鐘前,nan,https://tw.news.yahoo.com/%25E7%259C%258B%25E5%25AE%2588%25E6%2589%2580%25E5%25BA%25A6%25E4%25B8%25AD%25E7%25A7%258B%25E7%25AF%2580-%25E9%2599%25B3%25E4%25BD%25A9%25E7%2590%25AA%25E9%259F%25BF%25E6%2587%2589%25E5%25B0%258F%25E8%258D%2589-%25E5%25AF%25A7%25E9%259D%259C%25E9%259D%25A9%25E5%2591%25BD-%25E9%259A%2594%25E8%2591%2597%25E7%259B%25A3%25E6%2589%2580%25E9%25AB%2598%25E7%2589%2586%25E6%2580%259D%25E5%25BF%25B5%25E6%259F%25AF%25E6%2596%2587%25E5%2593%25B2-010507564.html&ved=2ahUKEwiMhdfN6MiIAxVzka8BHTuDJu0QxfQBegQIBxAC&usg=AOvVaw0cAafH3ZwoNo72uPii_CIj,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Yahoo新聞,
爭取「回頭草」難度高綠趁柯文哲核爆鞏固執政| 政治,綠營內部觀察近期的司法案件，民進黨也有包括鄭文燦、林宜瑾等人面臨司法追訴，並非針對民眾黨，只是輿論都聚焦在柯文哲身上；從8月中旬的政治獻金案到8月底京華城案，...,5 分鐘前,nan,https://www.setn.com/News.aspx%3FNewsID%3D1531135&ved=2ahUKEwiMhdfN6MiIAxVzka8BHTuDJu0QxfQBegQICRAC&usg=AOvVaw0CvccII7F9lrlGt3pumsAi,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",三立新聞網SETN.com,
【上集】大眾對柯文哲好感度蒸發？ 支持客群「感情溫度」降至冰點前都發局長黃景茂「實情換交保」 阿川曬公文曝:柯市府貼心提點京華城案怎辦比較快｜李正皓主持｜【新台派上線】20240917｜三立新聞台,【上集】大眾對柯文哲好感度蒸發？ 支持客群「感情溫度」降至冰點前都發局長黃景茂「實情換交保」 阿川曬公文曝:柯市府貼心提點京華城案怎辦比較快｜李正皓主持｜【新台派...,7 分鐘前,nan,https://www.youtube.com/watch%3Fv%3DTyH5nODqEjQ&ved=2ahUKEwiMhdfN6MiIAxVzka8BHTuDJu0QxfQBegQICBAC&usg=AOvVaw0KwNL9gQHdsR2WYcHSVcmY,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",YouTube,
再揭便當會關鍵時間點 吳靜怡：「方案四」計畫，黃珊珊看過了嗎？,記者李鴻典／台北報導京華城案持續延燒，民眾黨主席柯文哲前幕僚、政治評論員吳靜怡感嘆，柯文哲能讓京華城容積案起死回生，卻讓自己一頭硬栽在城裡無法回春！ 吳靜怡說.,3 分鐘前,nan,https://tw.news.yahoo.com/%25E5%2586%258D%25E6%258F%25AD%25E4%25BE%25BF%25E7%2595%25B6%25E6%259C%2583%25E9%2597%259C%25E9%258D%25B5%25E6%2599%2582%25E9%2596%2593%25E9%25BB%259E-%25E5%2590%25B3%25E9%259D%259C%25E6%2580%25A1-%25E6%2596%25B9%25E6%25A1%2588%25E5%259B%259B-%25E8%25A8%2588%25E7%2595%25AB-%25E9%25BB%2583%25E7%258F%258A%25E7%258F%258A%25E7%259C%258B%25E9%2581%258E%25E4%25BA%2586%25E5%2597%258E-004007474.html&ved=2ahUKEwiMhdfN6MiIAxVzka8BHTuDJu0QxfQBegQIBBAC&usg=AOvVaw03xFyW5MeIsXYwo2EHW0CE,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Yahoo新聞,
陳佩琪爆柯文哲收贊助紅包 于北辰奉承民進黨年賺千萬？新聞大白話 20240915,陳佩琪#柯文哲#贊助#紅包#于北辰#民進黨#奉承#新聞大白話#京華城#國民黨○TVBS新聞APP https://bit.ly/47n6SOm ○訂閱T-Radio https://bit.ly/3vyzKVL 《TVBS 56台》...,1 小時前,nan,https://www.youtube.com/watch%3Fv%3D928j9OIRgGM&ved=2ahUKEwiMhdfN6MiIAxVzka8BHTuDJu0QxfQBegQIABAC&usg=AOvVaw30ZlwpNdbCTiiYO4O40QrX,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",YouTube,
北檢撇洩密 他讚辦案效率高「也可找民眾黨查柯文哲」,台北地檢署針對偵辦京華城案是否違反偵查不公開，檢方5天傳喚3家媒體、5名記者和主管查洩密，律師林智群在臉書「林智群律師（...,2 小時前,nan,https://udn.com/news/story/124199/8232465&ved=2ahUKEwiMhdfN6MiIAxVzka8BHTuDJu0QxfQBegQIARAC&usg=AOvVaw25yW0iRFYBbq7PumrT153a,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",聯合新聞網,
民眾黨支持度狂跌！郭正亮曝「只剩12%」內幕：是個好消息,民眾黨主席柯文哲因捲台北京華城容積率弊案，遭到台北地方法院羈押禁見。根據《台灣民意基金會》最新民調，民眾黨的支持度只剩12%，比上個月再度下跌1.,2 小時前,nan,https://tw.news.yahoo.com/%25E6%25B0%2591%25E7%259C%25BE%25E9%25BB%25A8%25E6%2594%25AF%25E6%258C%2581%25E5%25BA%25A6%25E7%258B%2582%25E8%25B7%258C-%25E9%2583%25AD%25E6%25AD%25A3%25E4%25BA%25AE%25E6%259B%259D-%25E5%258F%25AA%25E5%2589%25A912-%25E5%2585%25A7%25E5%25B9%2595-%25E6%2598%25AF%25E5%2580%258B%25E5%25A5%25BD%25E6%25B6%2588%25E6%2581%25AF-233330313.html&ved=2ahUKEwiMhdfN6MiIAxVzka8BHTuDJu0QxfQBegQIBRAC&usg=AOvVaw0fTF-HvX8ZClS1Wne6t1sL,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Yahoo新聞,
快訊／柯文哲看守所度中秋節 小草深夜集結 陳佩琪現身北所,記者李依璇／新北報導民眾黨主席柯文哲捲入京華城案，目前羈押於台北看守所，今天是中秋節前夕，支持者（暱稱小草）晚間前往台北看守所靜坐參與「寧靜革命，星光相伴」活動，9...,2 小時前,nan,https://tw.news.yahoo.com/%25E5%25BF%25AB%25E8%25A8%258A-%25E6%259F%25AF%25E6%2596%2587%25E5%2593%25B2%25E7%259C%258B%25E5%25AE%2588%25E6%2589%2580%25E5%25BA%25A6%25E4%25B8%25AD%25E7%25A7%258B%25E7%25AF%2580-%25E5%25B0%258F%25E8%258D%2589%25E6%25B7%25B1%25E5%25A4%259C%25E9%259B%2586%25E7%25B5%2590-%25E9%2599%25B3%25E4%25BD%25A9%25E7%2590%25AA%25E7%258F%25BE%25E8%25BA%25AB%25E5%258C%2597%25E6%2589%2580-160011219.html&ved=2ahUKEwiMhdfN6MiIAxVzka8BHTuDJu0QxfQBegQIAxAC&usg=AOvVaw2F-AHMA3W7K644HtdKC4g5,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Yahoo新聞,
風評：凍結總統府預算，救得了柯文哲嗎？,中秋團圓夜，民眾黨主席柯文哲在土城看守所過節，民眾黨則集結小草全台開講，民眾黨立委張啓楷平地一聲雷，揚言要提案「凍結總統府預算」，直到賴清德總統到立法院進行國情...,2 小時前,nan,https://www.storm.mg/article/5239592&ved=2ahUKEwiMhdfN6MiIAxVzka8BHTuDJu0QxfQBegQIBhAC&usg=AOvVaw2yPBY3EiyV4wfPUfDSrz7c,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",風傳媒,
公孫策專欄：把柯文哲關起來，就安了嗎？,民調結果，超過4分之1受訪者認為柯文哲受到司法迫害。為什麼？[啟動LINE推播]每日重大新聞通知因為民進黨打柯文哲幾乎卯上全力，黨政國會之外加上司法，京華城案相關人員八...,2 小時前,nan,https://www.storm.mg/article/5239098&ved=2ahUKEwiMhdfN6MiIAxVzka8BHTuDJu0QxfQBegQIAhAC&usg=AOvVaw1RWSBv1DylGVmhl97IaC9u,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",風傳媒,
